Vehicle_ID,Speed_kmph,Frame,Vehicle_Type
2_418_166,47.62,13,car
2_520_215,118.06,158,car
2_519_216,83.33,175,car
2_525_221,57.69,188,car
2_530_238,55.56,202,car
2_422_147,41.67,378,car
2_506_217,72.92,423,car
2_2_224,48.25,490,car
2_28_202,45.45,511,car
5_500_104,50.0,525,bus
2_374_206,65.79,526,car
5_498_105,44.44,544,bus
5_496_106,55.56,546,bus
5_495_104,46.3,547,bus
5_496_104,41.67,548,bus
5_498_107,46.3,549,bus
5_496_105,83.33,555,bus
5_496_106,66.67,556,bus
5_498_106,61.11,558,bus
5_497_106,65.48,559,bus
5_499_107,60.34,562,bus
2_367_223,83.33,577,car
2_272_349,63.22,611,car
2_265_361,43.1,613,car
2_397_198,66.67,647,car
2_511_174,47.62,651,car
7_544_217,107.89,720,truck
2_294_344,66.67,779,car
2_335_264,63.89,793,car
5_522_164,43.39,852,bus
2_502_178,55.56,967,car
2_507_186,55.56,984,car
2_506_193,46.3,990,car
2_507_206,52.08,1002,car
2_507_208,52.08,1003,car
2_509_162,50.0,1094,car
2_354_226,43.33,1112,car
2_503_192,41.67,1127,car
2_503_192,50.0,1132,car
2_504_192,41.67,1133,car
2_503_200,59.52,1138,car
2_504_199,41.67,1147,car
2_490_176,50.0,1148,car
2_3_240,41.67,1153,car
2_504_204,44.12,1153,car
2_319_295,60.19,1159,car
2_1_243,43.65,1251,car
5_492_122,41.67,1382,bus
5_494_133,52.78,1387,bus
5_496_147,116.67,1390,bus
2_236_168,66.67,1404,car
2_4_201,236.11,1462,car
